title,franchise,year,generation,console,website,publisher,developer,genre,confidence,notes,source_file
It Takes Two,,2022,8th Generation,Nintendo Switch,,Electronic Arts,Hazelight Studios,Action-Adventure,High,,game_lists_8th_gen_enriched
Limbo,,2015,8th Generation,Sony PlayStation 4,,Playdead,Playdead,Puzzle-Platformer,High,,game_lists_8th_gen_enriched
Limbo,,2018,8th Generation,Nintendo Switch,,Playdead,Playdead,Puzzle-Platformer,High,,game_lists_8th_gen_enriched
Mad Max,,2015,8th Generation,Sony PlayStation 4,,Warner Bros. Interactive Entertainment,Avalanche Studios,Action-adventure,High,,game_lists_8th_gen_enriched
No Man’s Sky,,2016,8th Generation,Sony PlayStation 4,,Hello Games,Hello Games,Survival,High,,game_lists_8th_gen_enriched
No Man’s Sky,,2022,8th Generation,Nintendo Switch,,Hello Games,Hello Games,Survival,High,,game_lists_8th_gen_enriched
Octodad: Dadliest Catch,,2015,8th Generation,Nintendo Wii U,,Young Horses,Young Horses,Adventure,High,,game_lists_8th_gen_enriched
Octodad: Dadliest Catch,,2014,8th Generation,Sony PlayStation 4,,Young Horses,Young Horses,Adventure,High,,game_lists_8th_gen_enriched
Octodad: Dadliest Catch,,2017,8th Generation,Nintendo Switch,,Young Horses,Young Horses,Adventure,High,,game_lists_8th_gen_enriched
Outer Wilds,,2019,8th Generation,Sony PlayStation 4,,Annapurna Interactive,Mobius Digital,Adventure,High,,game_lists_8th_gen_enriched
Outer Wilds,,2023,8th Generation,Nintendo Switch,,Annapurna Interactive,Mobius Digital,Adventure,High,,game_lists_8th_gen_enriched
"Plague, Inc: Evolved",,2019,8th Generation,Sony PlayStation 4,,Ndemic Creations,Ndemic Creations,Simulation,High,,game_lists_8th_gen_enriched
"Plague, Inc: Evolved",,2019,8th Generation,Nintendo Switch,,Ndemic Creations,Ndemic Creations,Simulation,High,,game_lists_8th_gen_enriched
PlayerUnknown’s Battlegrounds,,2018,8th Generation,Sony PlayStation 4,,PUBG Corporation,PUBG Corporation,Battle Royale,High,,game_lists_8th_gen_enriched
République,,2016,8th Generation,Sony PlayStation 4,,Camouflaj,Camouflaj,Stealth,High,,game_lists_8th_gen_enriched
Rocket League,,2015,8th Generation,Sony PlayStation 4,,Psyonix,Psyonix,Sports,High,,game_lists_8th_gen_enriched
Rocket League,,2017,8th Generation,Nintendo Switch,,Psyonix,Psyonix,Sports,High,,game_lists_8th_gen_enriched
Stardew Valley,,2016,8th Generation,Sony PlayStation 4,,ConcernedApe,ConcernedApe,Farming Simulation,High,,game_lists_8th_gen_enriched
Stardew Valley,,2017,8th Generation,Nintendo Switch,,ConcernedApe,ConcernedApe,Farming Simulation,High,,game_lists_8th_gen_enriched
Stray,,2022,8th Generation,Sony PlayStation 4,,Annapurna Interactive,BlueTwelve Studio,Adventure,High,,game_lists_8th_gen_enriched
Stray,,2024,8th Generation,Nintendo Switch,,Annapurna Interactive,BlueTwelve Studio,Adventure,High,,game_lists_8th_gen_enriched
Terraria,,2014,8th Generation,Sony PlayStation 4,,505 Games,Re-Logic,Sandbox,High,,game_lists_8th_gen_enriched
Terraria,,2019,8th Generation,Nintendo Switch,,505 Games,Re-Logic,Sandbox,High,,game_lists_8th_gen_enriched
The Stanley Parable - Ultra Deluxe,,2022,8th Generation,Sony PlayStation 4,,Crows Crows Crows,Galactic Cafe,Adventure,High,,game_lists_8th_gen_enriched
The Stanley Parable - Ultra Deluxe,,2022,8th Generation,Nintendo Switch,,Crows Crows Crows,Galactic Cafe,Adventure,High,,game_lists_8th_gen_enriched
The Texas Chainsaw Massacre,,2023,8th Generation,Sony PlayStation 4,,Gun Interactive,Sumo Digital,Survival Horror,High,,game_lists_8th_gen_enriched
Tormented Souls,,2022,8th Generation,Sony PlayStation 4,,PQube,Dual Effect,Survival Horror,High,,game_lists_8th_gen_enriched
Tormented Souls,,2022,8th Generation,Nintendo Switch,,PQube,Dual Effect,Survival Horror,High,,game_lists_8th_gen_enriched
Beyond: Two Souls,,2015,8th Generation,Sony PlayStation 4,,Sony Interactive Entertainment,Quantic Dream,Interactive Drama,High,"PC release published by Quantic Dream, but canonical publisher is Sony.",game_lists_8th_gen_enriched
Heavy Rain,,2016,8th Generation,Sony PlayStation 4,,Sony Interactive Entertainment,Quantic Dream,Interactive Drama,High,,game_lists_8th_gen_enriched
Journey,,2015,8th Generation,Sony PlayStation 4,,Sony Computer Entertainment,Thatgamecompany,Adventure,High,,game_lists_8th_gen_enriched
Sekiro: Shadows Die Twice,,2019,8th Generation,Sony PlayStation 4,,Activision,FromSoftware,Action-adventure,High,,game_lists_8th_gen_enriched
Sleeping Dogs - Definitive Edition,,2014,8th Generation,Sony PlayStation 4,,Square Enix,United Front Games,Action-adventure,Medium,Metadata based on base game/title variant.,game_lists_8th_gen_enriched
Soma,,2015,8th Generation,Sony PlayStation 4,,Frictional Games,Frictional Games,Survival Horror,High,,game_lists_8th_gen_enriched
Soma,,2025,8th Generation,Nintendo Switch,,Frictional Games,Frictional Games,Survival Horror,High,,game_lists_8th_gen_enriched
A Plague Tale: Innocence,A Plague Tale,2021,9th Generation,Sony PlayStation 5,,Focus Entertainment,Asobo Studio,Action-Adventure,High,,game_lists_9th_gen_enriched
A Plague Tale: Requiem,A Plague Tale,2022,9th Generation,Sony PlayStation 5,,Focus Entertainment,Asobo Studio,Action-Adventure,High,,game_lists_9th_gen_enriched
Alan Wake - Remastered,Alan Wake,2021,9th Generation,Sony PlayStation 5,,Epic Games Publishing,Remedy Entertainment,Action-adventure,High,Original Alan Wake publisher was Microsoft; current/canonical franchise publisher now often tied to Epic/Remedy.,game_lists_9th_gen_enriched
Alan Wake 2,Alan Wake,2023,9th Generation,Sony PlayStation 5,,Epic Games Publishing,Remedy Entertainment,Survival Horror,High,,game_lists_9th_gen_enriched
Alien: Rogue Incursion,Alien,2025,9th Generation,Sony PlayStation 5,,Survios,Survios,Survival Horror,High,,game_lists_9th_gen_enriched
Aliens: Fireteam Elite,Alien,2021,9th Generation,Sony PlayStation 5,,Cold Iron Studios,Cold Iron Studios,Third-person Shooter,High,,game_lists_9th_gen_enriched
Aliens: Dark Descent,Alien,2023,9th Generation,Sony PlayStation 5,,Focus Entertainment,Tindalos Interactive,Real-time Tactics,High,,game_lists_9th_gen_enriched
Alien: Rogue Incursion Evolved Edition – Part One,Alien,2026,9th Generation,Nintendo Switch 2,,Survios,Survios,Survival Horror,Medium,,game_lists_9th_gen_enriched
Amnesia: Rebirth,Amnesia,2026,9th Generation,Nintendo Switch 2,,Frictional Games,Frictional Games / The Chinese Room,Survival Horror,Medium,A Machine for Pigs developed by The Chinese Room; others by Frictional Games.,game_lists_9th_gen_enriched
Among Us,Among Us,2021,9th Generation,Sony PlayStation 5,,Innersloth,Innersloth,Social Deduction,High,,game_lists_9th_gen_enriched
Apex Legends,Apex Legends,2022,9th Generation,Sony PlayStation 5,,Electronic Arts,Respawn Entertainment,Battle Royale,High,,game_lists_9th_gen_enriched
Asphalt Legends,Asphalt,2024,9th Generation,Sony PlayStation 5,,Gameloft,Gameloft,Racing,High,,game_lists_9th_gen_enriched
Assassin’s Creed Mirage,Assassin’s Creed,2023,9th Generation,Sony PlayStation 5,,Ubisoft,Ubisoft,Action-adventure,High,,game_lists_9th_gen_enriched
Assassin’s Creed Shadows,Assassin’s Creed,2025,9th Generation,Sony PlayStation 5,,Ubisoft,Ubisoft,Action-adventure,High,,game_lists_9th_gen_enriched
Assassin’s Creed Valhalla,Assassin’s Creed,2020,9th Generation,Sony PlayStation 5,,Ubisoft,Ubisoft,Action-adventure,High,,game_lists_9th_gen_enriched
Assassin's Creed Shadows,Assassin’s Creed,2025,9th Generation,Nintendo Switch 2,,Ubisoft,Ubisoft,Action-adventure,High,,game_lists_9th_gen_enriched
Astro Bot,Astro Bot,2024,9th Generation,Sony PlayStation 5,,Sony Interactive Entertainment,Team Asobi,Platformer,High,,game_lists_9th_gen_enriched
Astro’s Playroom,Astro Bot,2020,9th Generation,Sony PlayStation 5,,Sony Interactive Entertainment,Team Asobi,Platformer,High,,game_lists_9th_gen_enriched
Avatar: Frontiers of Pandora,Avatar,2023,9th Generation,Sony PlayStation 5,,Ubisoft,Massive Entertainment,Action-Adventure,High,,game_lists_9th_gen_enriched
Baldur’s Gate III,Baldur’s Gate,2023,9th Generation,Sony PlayStation 5,,Larian Studios,Larian Studios,RPG,High,,game_lists_9th_gen_enriched
Gotham Knights,Batman,2022,9th Generation,Sony PlayStation 5,,Warner Bros. Games,WB Games Montréal,Action RPG,High,,game_lists_9th_gen_enriched
Suicide Squad: Kill the Justice League,Batman: Arkham,2024,9th Generation,Sony PlayStation 5,,Warner Bros. Games,Rocksteady Studios,Action-Adventure,High,,game_lists_9th_gen_enriched
Battlefield 6,Battlefield,2025,9th Generation,Sony PlayStation 5,,Electronic Arts,Battlefield Studios,FPS,Medium,Future/unreleased at source date; developer/publisher may change.,game_lists_9th_gen_enriched
Battlefield 2042,Battlefield,2021,9th Generation,Sony PlayStation 5,,Electronic Arts,DICE,FPS,High,,game_lists_9th_gen_enriched
Borderlands 3,Borderlands,2020,9th Generation,Sony PlayStation 5,,2K,Gearbox Software,FPS,High,,game_lists_9th_gen_enriched
Borderlands 4,Borderlands,2025,9th Generation,Sony PlayStation 5,,2K,Gearbox Software,FPS,Medium,Future/unreleased at source date; metadata may change.,game_lists_9th_gen_enriched
Call of Duty: Black Ops 6,Call of Duty,2024,9th Generation,Sony PlayStation 5,,Activision,Infinity Ward / Treyarch / Sledgehammer Games,FPS,Medium,Developer rotates by title; verify exact title if needed.,game_lists_9th_gen_enriched
Call of Duty: Black Ops 7,Call of Duty,2025,9th Generation,Sony PlayStation 5,,Activision,Infinity Ward / Treyarch / Sledgehammer Games,FPS,Medium,Developer rotates by title; verify exact title if needed.,game_lists_9th_gen_enriched
Call of Duty: Black Ops Cold War,Call of Duty,2020,9th Generation,Sony PlayStation 5,,Activision,Infinity Ward / Treyarch / Sledgehammer Games,FPS,Medium,Developer rotates by title; verify exact title if needed.,game_lists_9th_gen_enriched
Call of Duty: Modern Warfare II,Call of Duty,2022,9th Generation,Sony PlayStation 5,,Activision,Infinity Ward / Treyarch / Sledgehammer Games,FPS,Medium,Developer rotates by title; verify exact title if needed.,game_lists_9th_gen_enriched
Call of Duty: Modern Warfare III,Call of Duty,2023,9th Generation,Sony PlayStation 5,,Activision,Infinity Ward / Treyarch / Sledgehammer Games,FPS,Medium,Developer rotates by title; verify exact title if needed.,game_lists_9th_gen_enriched
Call of Duty: Vanguard,Call of Duty,2021,9th Generation,Sony PlayStation 5,,Activision,Infinity Ward / Treyarch / Sledgehammer Games,FPS,Medium,Developer rotates by title; verify exact title if needed.,game_lists_9th_gen_enriched
Call of Duty: Warzone,Call of Duty,2020,9th Generation,Sony PlayStation 5,,Activision,Infinity Ward / Treyarch / Sledgehammer Games,FPS,Medium,Developer rotates by title; verify exact title if needed.,game_lists_9th_gen_enriched
Call of Duty: Warzone 2.0,Call of Duty,2022,9th Generation,Sony PlayStation 5,,Activision,Infinity Ward / Treyarch / Sledgehammer Games,FPS,Medium,Developer rotates by title; verify exact title if needed.,game_lists_9th_gen_enriched
Crash Bandicoot 4: It’s About Time,Crash Bandicoot,2020,9th Generation,Sony PlayStation 5,,Activision,Vicarious Visions / Toys for Bob,Platformer,High,,game_lists_9th_gen_enriched
DC Universe Online,DC,2024,9th Generation,Sony PlayStation 5,,Daybreak Game Company,Dimensional Ink Games,MMORPG,High,,game_lists_9th_gen_enriched
Dead by Daylight,Dead by Daylight,2020,9th Generation,Sony PlayStation 5,,Behaviour Interactive,Behaviour Interactive,Survival Horror,High,,game_lists_9th_gen_enriched
Dead Island 2,Dead Island,2023,9th Generation,Sony PlayStation 5,,Deep Silver,Dambuster Studios,Action RPG,High,,game_lists_9th_gen_enriched
Dead Rising - Deluxe Remastered,Dead Rising,2024,9th Generation,Sony PlayStation 5,,Capcom,Capcom,Action-Adventure,High,,game_lists_9th_gen_enriched
Dead Space,Dead Space,2023,9th Generation,Sony PlayStation 5,,Electronic Arts,Motive Studio,Survival Horror,High,,game_lists_9th_gen_enriched
Death Stranding 2: On the Beach,Death Stranding,2025,9th Generation,Sony PlayStation 5,,Sony Interactive Entertainment,Kojima Productions,Action,High,,game_lists_9th_gen_enriched
Death Stranding - Director’s Cut,Death Stranding,2021,9th Generation,Sony PlayStation 5,,Sony Interactive Entertainment,Kojima Productions,Action,High,,game_lists_9th_gen_enriched
Demon’s Souls,Demon’s Souls,2020,9th Generation,Sony PlayStation 5,,Sony Interactive Entertainment,Bluepoint Games,Action RPG,High,,game_lists_9th_gen_enriched
Destiny 2,Destiny,2020,9th Generation,Sony PlayStation 5,,Bungie,Bungie,FPS,High,,game_lists_9th_gen_enriched
Deus Ex - Remastered,Deus Ex,2026,9th Generation,Sony PlayStation 5,,Aspyr,Eidos-Montréal,Action RPG,Low,Future/remaster entry needs manual verification.,game_lists_9th_gen_enriched
Devil May Cry 5 - Special Edition,Devil May Cry,2020,9th Generation,Sony PlayStation 5,,Capcom,Capcom,Hack and Slash,High,,game_lists_9th_gen_enriched
Diablo II: Resurrected,Diablo,2021,9th Generation,Sony PlayStation 5,,Blizzard Entertainment,Vicarious Visions,Action RPG,High,,game_lists_9th_gen_enriched
Diablo IV,Diablo,2023,9th Generation,Sony PlayStation 5,,Blizzard Entertainment,Blizzard Entertainment,Action RPG,High,,game_lists_9th_gen_enriched
Disco Elysium - The Final Cut,Disco Elysium,2021,9th Generation,Sony PlayStation 5,,ZA/UM,ZA/UM,RPG,High,,game_lists_9th_gen_enriched
Donkey Kong Bananza,Donkey Kong,2025,9th Generation,Nintendo Switch 2,,Nintendo,Nintendo EPD,Platformer,High,,game_lists_9th_gen_enriched
Doom Eternal,Doom,2020,9th Generation,Sony PlayStation 5,,Bethesda Softworks,id Software,FPS,High,Older entries were originally published by id/GT Interactive; canonical modern publisher set to Bethesda.,game_lists_9th_gen_enriched
Doom: The Dark Ages,Doom,2025,9th Generation,Sony PlayStation 5,,Bethesda Softworks,id Software,FPS,High,,game_lists_9th_gen_enriched
Dying Light 2: Stay Human,Dying Light,2022,9th Generation,Sony PlayStation 5,,Techland,Techland,Action RPG,High,,game_lists_9th_gen_enriched
Elden Ring,Elden Ring,2022,9th Generation,Sony PlayStation 5,,Bandai Namco Entertainment,FromSoftware,Action RPG,High,,game_lists_9th_gen_enriched
Elden Ring: Nightreign,Elden Ring,2025,9th Generation,Sony PlayStation 5,,Bandai Namco Entertainment,FromSoftware,Action RPG,High,,game_lists_9th_gen_enriched
Fallout 4,Fallout,2024,9th Generation,Sony PlayStation 5,,Bethesda Softworks,Bethesda Game Studios / Obsidian Entertainment / Black Isle,RPG,Medium,Publisher/developer varies by era/title.,game_lists_9th_gen_enriched
Fallout 4 - Anniversary Edition,Fallout,2026,9th Generation,Nintendo Switch 2,,Bethesda Softworks,Bethesda Game Studios / Obsidian Entertainment / Black Isle,RPG,Medium,Publisher/developer varies by era/title.; Metadata based on base game/title variant.,game_lists_9th_gen_enriched
Far Cry 6,Far Cry,2021,9th Generation,Sony PlayStation 5,,Ubisoft,Ubisoft / Crytek,FPS,Medium,First game by Crytek; most later entries by Ubisoft studios.,game_lists_9th_gen_enriched
Fatal Frame II: Crimson Butterfly - Remake,Fatal Frame,2026,9th Generation,Sony PlayStation 5,,Koei Tecmo,Koei Tecmo,Survival Horror,Medium,Future/unreleased at source date; metadata may change.,game_lists_9th_gen_enriched
Fatal Frame: Maiden of Black Water,Fatal Frame,2021,9th Generation,Sony PlayStation 5,,Nintendo,Koei Tecmo,Survival Horror,High,,game_lists_9th_gen_enriched
Fatal Frame: Mask of the Lunar Eclipse,Fatal Frame,2023,9th Generation,Sony PlayStation 5,,Koei Tecmo,Koei Tecmo,Survival Horror,High,,game_lists_9th_gen_enriched
Fatal Frame II: Crimson Butterfly - Remake,Fatal Frame,2026,9th Generation,Nintendo Switch 2,,Koei Tecmo,Koei Tecmo,Survival Horror,Medium,Future/unreleased at source date; metadata may change.,game_lists_9th_gen_enriched
Final Fantasy VII: Rebirth,Final Fantasy,2024,9th Generation,Sony PlayStation 5,,Square Enix,Square Enix Creative Business Unit I,Action RPG,High,,game_lists_9th_gen_enriched
Final Fantasy VII: Remake - Intergrade,Final Fantasy,2021,9th Generation,Sony PlayStation 5,,Square Enix,Square Enix Creative Business Unit I,Action RPG,High,,game_lists_9th_gen_enriched
Final Fantasy XIV,Final Fantasy,2021,9th Generation,Sony PlayStation 5,,Square Enix,Square Enix Creative Business Unit III,MMORPG,High,,game_lists_9th_gen_enriched
Final Fantasy XVI,Final Fantasy,2023,9th Generation,Sony PlayStation 5,,Square Enix,Square Enix Creative Business Unit III,Action RPG,High,,game_lists_9th_gen_enriched
Final Fantasy VII Remake Intergrade,Final Fantasy,2026,9th Generation,Nintendo Switch 2,,Square Enix,Square Enix Creative Business Unit I,Action RPG,High,,game_lists_9th_gen_enriched
Final Fantasy Tactics: The Ivalice Chronicles – Nintendo Switch 2 Edition,Final Fantasy,2025,9th Generation,Nintendo Switch 2,,Square Enix,Square Enix,Tactical RPG,Medium,Edition-specific metadata may vary.,game_lists_9th_gen_enriched
Five Nights at Freddy’s: Help Wanted,Five Nights at Freddy’s,2023,9th Generation,Sony PlayStation 5,,ScottGames,Steel Wool Studios,Survival Horror,High,,game_lists_9th_gen_enriched
Five Nights at Freddy’s: Into the Pit,Five Nights at Freddy’s,2024,9th Generation,Sony PlayStation 5,,Mega Cat Studios,Mega Cat Studios,Survival Horror,High,,game_lists_9th_gen_enriched
Five Nights at Freddy’s: Security Breach,Five Nights at Freddy’s,2021,9th Generation,Sony PlayStation 5,,ScottGames,Steel Wool Studios,Survival Horror,High,,game_lists_9th_gen_enriched
